k,n_bldg,peak_kw,annual_kwh,designed_kva,kva_imputed,overload_hours,utilisation,assigned_dwellings,archetype_to_assignment_ratio,audit_count_reconciliation,audit_extreme_utilisation,audit_large_catchment,requires_asset_audit
***042,88,111.12800252437592,326575.6564086571,200.0,False,0,0.5556400126218796,92,0.9565217391304348,False,False,False,False
0 ***283Y,64,63.43202257156372,228017.7519396586,400.0,False,0,0.1585800564289093,69,0.927536231884058,False,False,False,False
0 ***4101,9,11.038211226463318,29907.165877208718,200.0,False,0,0.05519105613231659,12,0.75,True,False,False,False
0 ***496Z,25,27.791266083717346,91798.08068404064,630.0,False,0,0.04411312076780531,29,0.8620689655172413,False,False,False,False
01***071Z,4,2.9088078141212463,15929.929683983366,100.0,False,0,0.02908807814121246,4,1.0,False,False,False,False
01***4274,6,7.391999959945679,19400.210018539103,100.0,False,0,0.07391999959945679,6,1.0,False,False,False,False
02***188X,13,11.317778944969177,48350.9633619385,50.0,False,0,0.22635557889938354,12,1.0833333333333333,False,False,False,False
02***250X,21,37.71892221271992,99119.14957333938,100.0,False,0,0.3771892221271992,22,0.9545454545454546,False,False,False,False
02***810X,6,7.367105603218079,19607.680097600285,50.0,False,0,0.14734211206436157,6,1.0,False,False,False,False
0R***031Y,11,13.502211213111877,41556.088076208805,200.0,False,0,0.06751105606555939,16,0.6875,True,False,False,False
1 ***299Z,69,84.71718788146973,245812.04630341043,400.0,False,0,0.2117929697036743,69,1.0,False,False,False,False
12***039,5,7.711811316199601,22222.039659953494,400.0,False,0,0.019279528290499,4,1.25,True,False,False,False
12***319Z,38,36.01395237445831,163401.94485466875,200.0,False,0,0.18006976187229157,38,1.0,False,False,False,False
18***993,31,27.775910794734955,117824.72359370482,50.0,False,0,0.5555182158946991,36,0.8611111111111112,False,False,False,False
1X***737X,2,2.4639999866485596,7789.979245521235,200.0,False,0,0.012319999933242797,2,1.0,False,False,False,False
20***4442,46,53.74955743551254,178964.58784523795,200.0,False,0,0.2687477871775627,51,0.9019607843137255,False,False,False,False
24***019,10,7.621778964996338,38083.219046640486,200.0,False,0,0.03810889482498169,10,1.0,False,False,False,False
3 ***825Y,15,19.656000018119812,57800.517143440295,630.0,False,0,0.031200000028761606,15,1.0,False,False,False,False
3G***4248,14,14.349951922893524,47158.34856406441,100.0,False,0,0.14349951922893525,20,0.7,True,False,False,False
4 ***367Y,1,1.2319999933242798,3126.1271884020575,400.0,False,0,0.0030799999833106993,1,1.0,False,False,False,False
4 ***494Y,60,113.06878387928009,299566.56189624657,400.0,False,0,0.28267195969820025,45,1.3333333333333333,True,False,False,False
4 ***495Y,21,25.871999859809875,91979.36696054321,400.0,False,0,0.06467999964952469,22,0.9545454545454546,False,False,False,False
43***532Y,17,22.12000000476837,48890.11916805113,400.0,False,0,0.05530000001192093,16,1.0625,False,False,False,False
4F***049X,46,51.95186406373978,193365.10731720558,200.0,False,0,0.25975932031869886,46,1.0,False,False,False,False
50***4013,13,11.776695907115936,51452.922620087214,50.0,False,0,0.23553391814231872,16,0.8125,False,False,False,False
6 ***381X,7,8.599105596542358,23437.829298178927,400.0,False,0,0.021497763991355896,7,1.0,False,False,False,False
A ***058Z,6,7.391999959945679,16020.001089501979,400.0,False,0,0.018479999899864197,6,1.0,False,False,False,False
A ***337X,90,92.64144277572632,324462.0210367305,400.0,False,0,0.2316036069393158,90,1.0,False,False,False,False
A ***338X,74,73.75758290290833,273288.9078090852,400.0,False,0,0.1843939572572708,74,1.0,False,False,False,False
A ***340X,70,71.42424666881561,250374.44740538712,400.0,False,0,0.17856061667203904,72,0.9722222222222222,False,False,False,False
A ***342X,91,107.39186376333237,310820.5386579548,400.0,False,0,0.2684796594083309,91,1.0,False,False,False,False
A ***4053,37,35.81430226564407,153301.27126442117,400.0,False,0,0.08953575566411018,44,0.8409090909090909,False,False,False,False
A ***461X,3,2.613861382007599,10359.100605442922,100.0,False,0,0.026138613820075988,3,1.0,False,False,False,False
A ***972X,5,6.135105609893799,16504.058490350886,50.0,False,0,0.12270211219787598,6,0.8333333333333334,False,False,False,False
A ***986,69,84.37898522615433,259514.02237546575,400.0,False,0,0.2109474630653858,69,1.0,False,False,False,False
A-***471X,16,26.453158855438232,63393.77600673211,50.0,False,0,0.5290631771087646,16,1.0,False,False,False,False
A.***013,2,3.640000104904175,6224.92606977222,400.0,False,0,0.009100000262260438,2,1.0,False,False,False,False
A.***470,13,23.660000681877136,43335.551548756346,630.0,False,0,0.037555556637900216,10,1.3,True,False,False,False
A.***597,47,39.8125866651535,193774.06022562948,50.0,False,0,0.7962517333030701,49,0.9591836734693877,False,False,False,False
A.***651,2,7.520000219345093,13193.129509020899,200.0,True,0,0.03760000109672546,2,1.0,False,False,False,False
A.***805X,31,37.924071192741394,127455.93040302425,50.0,False,0,0.7584814238548279,27,1.1481481481481481,False,False,False,False
A.***824,1,1.2319999933242798,1764.2398468805477,630.0,False,0,0.0019555555449591745,1,1.0,False,False,False,False
A/***301,107,130.56597065925598,404796.20724967273,400.0,False,0,0.32641492664814,107,1.0,False,False,False,False
AB***001,30,54.756477396935225,134379.1715594477,630.0,False,0,0.08691504348719876,45,0.6666666666666666,True,False,False,False
AB***002,275,323.42765033245087,1319329.5152496477,630.0,False,0,0.513377222749922,287,0.9581881533101045,False,False,False,False
AB***003,20,19.3148250579834,68711.04571545386,100.0,False,0,0.19314825057983398,24,0.8333333333333334,False,False,False,False
AB***004,11,20.02000057697296,30840.783891904517,1000.0,False,0,0.020020000576972962,17,0.6470588235294118,True,False,False,False
AB***004Y,89,106.79974013566971,367945.2074817503,200.0,False,0,0.5339987006783485,90,0.9888888888888889,False,False,False,False
AB***005,62,77.56268697977066,307404.0390711932,200.0,False,0,0.3878134348988533,59,1.0508474576271187,False,False,False,False
AB***010,17,14.773120760917664,66768.17572615921,200.0,False,0,0.07386560380458831,21,0.8095238095238095,False,False,False,False
AB***012Y,70,86.23999953269958,284238.67392188386,400.0,False,0,0.21559999883174896,70,1.0,False,False,False,False
AB***016,80,104.88748317956924,345414.82460065826,200.0,False,0,0.5244374158978462,79,1.0126582278481013,False,False,False,False
AB***017Y,73,63.80319106578827,302471.73386830476,200.0,False,0,0.31901595532894134,77,0.948051948051948,False,False,False,False
AB***018X,87,104.30718272924423,355988.3029520248,400.0,False,0,0.2607679568231106,95,0.9157894736842105,False,False,False,False
AB***022Y,124,151.93304699659348,509043.5294594059,400.0,False,0,0.37983261749148367,110,1.1272727272727272,False,False,False,False
AB***024,20,24.590211153030396,83310.61662523763,200.0,False,0,0.12295105576515197,27,0.7407407407407407,True,False,False,False
AB***025,38,33.162030041217804,163985.97098460732,200.0,False,0,0.16581015020608902,39,0.9743589743589743,False,False,False,False
AB***027,106,118.91461324691772,433906.49938235944,630.0,False,0,0.18875335436018686,120,0.8833333333333333,False,False,False,False
AB***029X,10,9.74750429391861,36548.28319456218,50.0,False,0,0.1949500858783722,10,1.0,False,False,False,False
AB***033,32,44.59730786085129,116143.83636828752,200.0,False,0,0.22298653930425644,28,1.1428571428571428,False,False,False,False
AB***033Y,25,28.227504193782806,97325.41105919496,400.0,False,0,0.07056876048445701,32,0.78125,True,False,False,False
AB***036Y,137,168.78399908542633,635363.8445061683,400.0,False,0,0.42195999771356585,137,1.0,False,False,False,False
AB***037Y,115,141.67999923229218,492219.35616839945,400.0,False,0,0.35419999808073044,115,1.0,False,False,False,False
AB***041,68,61.769754111766815,277770.7439525123,400.0,False,0,0.15442438527941704,70,0.9714285714285714,False,False,False,False
AB***042,43,52.97599971294403,180902.65054323096,630.0,False,0,0.0840888884332445,43,1.0,False,False,False,False
AB***045,89,118.30852496623993,431777.99801588635,400.0,False,0,0.29577131241559984,88,1.0113636363636365,False,False,False,False
AB***047,120,118.98289114236832,452379.0093900406,400.0,False,0,0.29745722785592077,120,1.0,False,False,False,False
AB***048,200,192.3376109600067,761224.6753490407,400.0,False,0,0.4808440274000168,214,0.9345794392523364,False,False,False,False
AB***054Y,2,2.4639999866485596,6944.477047471355,200.0,True,0,0.012319999933242797,2,1.0,False,False,False,False
AB***056,259,316.0792645215988,1035761.5363500568,630.0,False,0,0.501713118288252,259,1.0,False,False,False,False
AB***058,8,14.5600004196167,22725.280708962295,200.0,True,0,0.0728000020980835,15,0.5333333333333333,True,False,False,False
AB***059,90,88.63146317005157,347742.23514197185,400.0,False,0,0.22157865792512893,98,0.9183673469387755,False,False,False,False
AB***062,47,41.75046241283417,209056.74964412095,200.0,False,0,0.20875231206417083,50,0.94,False,False,False,False
AB***064,21,29.864272165112197,66102.98421329817,400.0,False,0,0.0746606804127805,21,1.0,False,False,False,False
AB***066,26,31.107603199779987,140395.28912942816,100.0,False,0,0.3110760319977999,27,0.9629629629629629,False,False,False,False
AB***068Z,8,29.706472899764776,50924.55923997906,630.0,False,0,0.047153131586928215,11,0.7272727272727273,True,False,False,False
AB***074,37,35.864090979099274,160938.28433497722,200.0,False,0,0.17932045489549636,44,0.8409090909090909,False,False,False,False
AB***078,106,151.15351581573486,388720.1256571554,630.0,False,0,0.23992621558053154,120,0.8833333333333333,False,False,False,False
AB***079Y,47,57.36723667383194,184800.81722737558,50.0,False,516,1.147344733476639,40,1.175,False,False,False,False
AB***082,73,84.6565101146698,296644.4407422828,400.0,False,0,0.2116412752866745,70,1.042857142857143,False,False,False,False
AB***084,24,43.6800012588501,68175.84212688688,400.0,False,0,0.10920000314712525,38,0.631578947368421,True,False,False,False
AB***084X,38,70.17736389115453,171157.08790921568,630.0,False,0,0.11139264109707069,55,0.6909090909090909,True,False,False,False
AB***086,11,9.493662297725677,38055.32217032386,630.0,False,0,0.015069305234485202,16,0.6875,True,False,False,False
AB***086Y,14,14.371183216571808,47719.59573322752,50.0,False,0,0.2874236643314362,20,0.7,True,False,False,False
AB***094,71,79.77665323019028,271343.1164456317,50.0,False,2308,1.5955330646038055,84,0.8452380952380952,False,False,False,False
AB***096X,9,11.087999939918518,37578.2815569237,200.0,False,0,0.05543999969959259,10,0.9,False,False,False,False
AB***106X,57,68.44134074449539,233240.07388483736,630.0,False,0,0.10863704880078634,58,0.9827586206896551,False,False,False,False
AB***121X,80,115.7209631241858,369503.7637930111,100.0,False,730,1.157209631241858,63,1.2698412698412698,True,False,False,False
AB***125,16,29.1200008392334,60469.35970479025,400.0,False,0,0.0728000020980835,29,0.5517241379310345,True,False,False,False
AB***130,147,179.1676408648491,632525.1733626203,630.0,False,0,0.2843930807378557,148,0.9932432432432432,False,False,False,False
AB***144X,9,11.087999939918518,39397.78547966666,400.0,False,0,0.027719999849796294,15,0.6,True,False,False,False
AB***154X,78,153.26353234425187,463361.8238463603,400.0,False,0,0.3831588308606297,54,1.4444444444444444,True,False,False,False
AB***155X,54,66.52799963951111,260691.27564724974,200.0,False,0,0.3326399981975555,57,0.9473684210526315,False,False,False,False
AB***161,130,146.595497071743,534622.4956464977,400.0,False,0,0.36648874267935755,125,1.04,False,False,False,False
AB***161X,4,7.28000020980835,11904.609798372665,1000.0,False,0,0.0072800002098083495,3,1.3333333333333333,True,False,False,False
AB***168,143,175.6226955652237,625648.2152162561,400.0,False,0,0.43905673891305924,151,0.9470198675496688,False,False,False,False
AB***169Z,47,57.90399968624115,178326.48412527732,100.0,False,0,0.5790399968624115,51,0.9215686274509803,False,False,False,False
AB***174X,2,2.4639999866485596,6109.2309419877965,200.0,True,0,0.012319999933242797,2,1.0,False,False,False,False
AB***176Y,30,25.774568557739258,143613.78541121056,50.0,False,0,0.5154913711547852,34,0.8823529411764706,False,False,False,False
AB***179Y,20,18.596449315547943,75496.37055900565,630.0,False,0,0.02951817351674277,29,0.6896551724137931,True,False,False,False
AB***200,147,166.98610126972198,676571.1404207896,200.0,False,0,0.8349305063486099,152,0.9671052631578947,False,False,False,False
AB***208Y,33,31.598077557981014,144818.38917679936,630.0,False,0,0.050155678663461926,35,0.9428571428571428,False,False,False,False
AB***224X,14,21.952000379562378,54709.03401470229,400.0,False,0,0.054880000948905945,17,0.8235294117647058,False,False,False,False
AB***230Z,132,158.93500024080276,502025.47311189835,400.0,False,0,0.3973375006020069,133,0.9924812030075187,False,False,False,False
AB***237Z,31,50.3366584777832,146698.18315311067,400.0,False,0,0.125841646194458,27,1.1481481481481481,False,False,False,False
AB***239Y,132,162.62399911880493,458675.6304075315,400.0,False,0,0.40655999779701235,132,1.0,False,False,False,False
AB***242X,32,53.536001205444336,167212.09503811863,400.0,False,0,0.13384000301361085,26,1.2307692307692308,True,False,False,False
AB***249,16,19.662211179733276,63903.84123324594,50.0,False,0,0.39324422359466554,22,0.7272727272727273,True,False,False,False
AB***253,2,2.4639999866485596,6944.477047471355,200.0,True,0,0.012319999933242797,2,1.0,False,False,False,False
AB***260,70,74.90217226743698,268957.91170254524,400.0,False,0,0.18725543066859246,70,1.0,False,False,False,False
AB***265,51,56.656429708004,200025.61054689426,50.0,False,500,1.13312859416008,58,0.8793103448275862,False,False,False,False
