k,n_bldg,peak_kw,annual_kwh,designed_kva,kva_imputed,overload_hours,utilisation,audit_extreme_utilisation,audit_large_catchment,requires_asset_audit
BA***166Z,3236,4618.4825851246715,14827150.588281255,400.0,False,6444,11.546206462811679,True,True,True
KI***4037,295,453.12952095270157,1476133.4396507,50.0,False,6260,9.06259041905403,True,False,True
TU***002X,307,425.68187910318375,1338707.9939804862,50.0,False,5619,8.513637582063675,True,False,True
PR***419,237,276.87200754880905,916686.5245826932,33.0,False,5730,8.390060834812395,True,False,True
GL***4392,210,419.44729679077864,1027480.5900966416,50.0,False,5008,8.388945935815572,True,False,True
CO***4466,196,410.08201126381755,989451.8867987699,50.0,False,5211,8.201640225276352,True,False,True
BR***4060,306,380.8260980807245,1334089.5931208716,50.0,False,5648,7.61652196161449,True,False,True
CR***323Y,310,378.2059428691864,1194529.1214509485,50.0,False,5421,7.564118857383728,True,False,True
TE***507,323,371.40506011247635,1233552.3413156183,50.0,False,5781,7.428101202249527,True,False,True
DR***4230,276,348.8097033575177,1215685.3920836758,50.0,False,5658,6.976194067150354,True,False,True
RA***473X,198,347.638313870877,930952.8191759968,50.0,False,4967,6.952766277417541,True,False,True
HO***265,273,332.29113525152206,1144237.1040715545,50.0,False,5330,6.645822705030441,True,False,True
FA***4180,568,654.4544483423233,2394824.962802101,100.0,False,5606,6.544544483423233,True,False,True
DO***4103,267,324.87327641248703,1076178.3357334724,50.0,False,5296,6.497465528249741,True,False,True
BA***4002,290,316.0208393931389,1225085.5010221237,50.0,False,5908,6.3204167878627775,True,False,True
CL***330X,262,315.07433545589447,999324.0675877209,50.0,False,5286,6.301486709117889,True,False,True
MI***077X,255,309.7578734755516,1067048.86412982,50.0,False,5253,6.195157469511032,True,False,True
P/***4010,68,304.60194063559175,484516.86471605184,50.0,False,3418,6.092038812711835,True,False,True
DA***224,234,297.3460352085531,882459.4209624487,50.0,False,5424,5.9469207041710614,True,False,True
FA***825,251,295.6819376349449,1160737.5035538499,50.0,False,6193,5.9136387526988985,True,False,True
GW***004X,232,295.2311258241534,1054679.9948584242,50.0,False,5520,5.904622516483069,True,False,True
DO***661,301,294.6448900103569,1317467.1117781263,50.0,False,6504,5.892897800207138,True,False,True
MO***077Y,231,281.7020258307457,898476.8667248012,50.0,False,5109,5.634040516614914,True,False,True
CA***203Z,240,280.46660113334656,1094598.21758652,50.0,False,5890,5.609332022666931,True,False,True
CA***216,268,280.2907361984253,1121684.447645886,50.0,False,6018,5.605814723968506,True,False,True
OW***653Y,247,279.34387743473053,968399.6067466147,50.0,False,5410,5.586877548694611,True,False,True
PA***031Z,229,279.1571874022484,877079.4068881967,50.0,False,5094,5.583143748044968,True,False,True
HA***140Y,211,277.59074169397354,880484.7561913808,50.0,False,5098,5.551814833879471,True,False,True
BE***4069,261,273.4403048157692,1028771.2115573164,50.0,False,5714,5.468806096315384,True,False,True
FO***959,224,272.2635161727667,978813.0407777447,50.0,False,5357,5.4452703234553335,True,False,True
RO***610,233,272.1921591758728,950145.6977356602,50.0,False,5478,5.443843183517456,True,False,True
WA***081,196,162.3941526412964,881061.2241582911,30.0,False,6609,5.413138421376546,True,False,True
AN***467Y,270,268.85004311800003,1093398.7118704824,50.0,False,5895,5.377000862360001,True,False,True
KE***569Z,243,267.400062918663,940895.7818798806,50.0,False,5449,5.348001258373261,True,False,True
CL***213X,190,267.2280319929123,837027.8718776833,50.0,False,5044,5.344560639858246,True,False,True
KN***938,157,262.8080059289932,797392.7566622538,50.0,False,5066,5.2561601185798645,True,False,True
GU***057X,189,262.0602611899376,822870.6121950273,50.0,False,5039,5.241205223798752,True,False,True
KI***428Y,160,258.30225355923176,732716.0179012395,50.0,False,4842,5.1660450711846355,True,False,True
KN***037X,188,257.3533815741539,838219.9822213785,50.0,False,5025,5.147067631483078,True,False,True
WA***116X,202,255.72917591035366,887349.1510600888,50.0,False,5204,5.114583518207073,True,False,True
CO***512Y,211,254.80910098552704,855423.7520337796,50.0,False,5312,5.0961820197105405,True,False,True
BA***387,259,253.52381940931082,1100516.4823634238,50.0,False,5982,5.070476388186217,True,False,True
LE***281X,207,252.5328357219696,786531.9337265566,50.0,False,5004,5.050656714439392,True,False,True
TU***771X,220,251.71887338161469,857127.8585130124,50.0,False,5205,5.034377467632294,True,False,True
AN***911,206,251.30083572864532,793880.5578768256,50.0,False,5003,5.026016714572907,True,False,True
BA***639X,178,250.23353213071823,867217.4632845924,50.0,False,5373,5.004670642614364,True,False,True
